Chromosome	Start	Stop	Length	Strand	Gene Symbol	gene_id	gene_name	gene_type	havana_gene	hgnc_id	level	ont	A1	A2	A3	A5	HD4	H5	H6	A4	H1	H2
15	88459501	88546586	87085	-	ENSG00000173867.10	ENSG00000173867.10	ENSG00000173867	protein_coding	OTTHUMG00000185776.2	---	2	---	2.53333	0.485271	0.00377488	0.000328466	2.08755e-07	4.14176	13.2419	4.84967	3.08406	0.255855
17	49223366	49230788	7422	-	ENSG00000173868.12	ENSG00000173868.12	PHOSPHO1	protein_coding	OTTHUMG00000161305.4	HGNC:16815	1 | 2 | 3	---	2428.01	2987.01	3309.95	3168.99	13283.9	12777	15339.9	586	6448.89	7916.05
19	12610918	12633841	22923	+	ENSG00000173875.14	ENSG00000173875.14	ZNF791	protein_coding	OTTHUMG00000156426.5	HGNC:26895	1 | 2	---	175	294.001	386.999	201	564	646.999	657.997	125	226	261
3	170086732	170181750	95018	-	ENSG00000173889.16	ENSG00000173889.16	PHC3	protein_coding	OTTHUMG00000158777.9	HGNC:15682	2	---	569	1364	926.001	343	1894.01	2098	1636.01	318	796.001	431
3	170037995	170085393	47398	+	ENSG00000173890.17	ENSG00000173890.17	GPR160	protein_coding	OTTHUMG00000158776.5	HGNC:23693	1 | 2	---	2376	1867.65	4764.87	1390.75	1618.06	1675.01	2578.19	795.223	683.447	1336
11	66682497	66744671	62174	-	ENSG00000173898.15	ENSG00000173898.15	SPTBN2	protein_coding	OTTHUMG00000167262.5	HGNC:11276	2	---	2	1	1	5	1	3	0	3	2	0
3	168008689	168095925	87236	-	ENSG00000173905.9	ENSG00000173905.9	GOLIM4	protein_coding	OTTHUMG00000158554.3	HGNC:15448	1 | 2	---	6	8	42	4	538.001	438	403	4	45	65
11	66664998	66677888	12890	-	ENSG00000173914.12	ENSG00000173914.12	RBM4B	protein_coding	OTTHUMG00000167243.4	HGNC:28842	1 | 2	---	27.4386	47.8761	72.991	37.606	274.628	274.887	363.348	42.3509	102.928	131.473
10	103389041	103396493	7452	-	ENSG00000173915.16	ENSG00000173915.16	ATP5MK	protein_coding	OTTHUMG00000018984.4	HGNC:30889	2	---	241	140	660.999	853.925	486.999	509.999	629.999	899.996	205	312
17	48540894	48545110	4216	-	ENSG00000173917.11	ENSG00000173917.11	HOXB2	protein_coding	OTTHUMG00000159930.4	HGNC:5113	2	---	0	0	9	12	14	22	8	12	0	1
5	126867714	127030559	162845	-	ENSG00000173926.6	ENSG00000173926.6	MARCHF3	protein_coding	OTTHUMG00000128968.4	HGNC:28728	2	---	41	43	74	51	60	57	38	90	23	19
19	11374666	11376952	2286	+	ENSG00000173928.4	ENSG00000173928.4	SWSAP1	protein_coding	OTTHUMG00000182025.3	HGNC:26638	2 | 3	---	43	34	114.923	129	83	75	56.9733	44	42	37.922
5	102233986	102296285	62299	-	ENSG00000173930.9	ENSG00000173930.9	SLCO4C1	protein_coding	OTTHUMG00000162757.2	HGNC:23612	2	---	683	822	679	363	1330	1203	1078	87	522	332
11	66638667	66668375	29708	+	ENSG00000173933.21	ENSG00000173933.21	RBM4	protein_coding	OTTHUMG00000154171.7	HGNC:9901	1 | 2	---	867.233	907.777	2371.71	1789.33	2307.1	2493.76	2540.69	1334.74	932.253	1435.31
3	195068284	195271160	202876	-	ENSG00000173950.16	ENSG00000173950.16	XXYLT1	protein_coding	OTTHUMG00000155915.4	HGNC:26639	1 | 2	---	50	20	134	14	59	76	100	58	12	45
2	23927285	24004910	77625	+	ENSG00000173960.14	ENSG00000173960.14	UBXN2A	protein_coding	OTTHUMG00000125497.4	HGNC:27265	2	---	15	15	42	15	86	71	71	27	19	17
4	53575713	53576388	675	+	ENSG00000173966.7	ENSG00000173966.7	COMMD5P1	processed_pseudogene	OTTHUMG00000160649.1	HGNC:56190	1	PGO:0000004	1	0	7	5	5	4	2	8	1	2
13	46211928	46277116	65188	+	ENSG00000173988.14	ENSG00000173988.14	LRRC63	protein_coding	OTTHUMG00000016866.4	HGNC:34296	1 | 2	---	1	2	3	4	4	3	3	1	0	0
17	39665349	39666555	1206	+	ENSG00000173991.6	ENSG00000173991.6	TCAP	protein_coding	OTTHUMG00000133215.3	HGNC:11610	2	---	5	6	23	10	13	27	16	31	8	7
11	66593153	66606020	12867	+	ENSG00000173992.9	ENSG00000173992.9	CCS	protein_coding	OTTHUMG00000167238.3	HGNC:1613	2	---	92	152	308	395	335	561	449	257	206	226
3	196639694	196662005	22311	+	ENSG00000174004.6	ENSG00000174004.6	NRROS	protein_coding	OTTHUMG00000155569.2	HGNC:24613	2	---	13.9949	25.6094	272.974	49	636.463	571.636	536.844	154	101.629	143.332
3	196706277	196712251	5974	-	ENSG00000174007.9	ENSG00000174007.9	CEP19	protein_coding	OTTHUMG00000153933.3	HGNC:28209	1 | 2	---	1017	1172.01	743.999	788	4087.07	4072.06	2759.02	626	1630.01	2035.01
X	23983716	24027187	43471	-	ENSG00000174010.10	ENSG00000174010.10	KLHL15	protein_coding	OTTHUMG00000021261.1	HGNC:29347	2	---	508	502.999	1079	372.001	318	457	397	284	137	128
3	196568611	196589060	20449	+	ENSG00000174013.8	ENSG00000174013.8	FBXO45	protein_coding	OTTHUMG00000155571.3	HGNC:29148	2	---	26	89.9999	264	48	229	285	343.999	41	64	132
1	84498323	84506582	8259	-	ENSG00000174021.12	ENSG00000174021.12	GNG5	protein_coding	OTTHUMG00000009858.5	HGNC:4408	2	---	2850.66	2174.58	6778.17	10008.1	2871.06	3022.23	2630.04	4334.31	1861.29	1530.02
X	23075758	23076768	1010	+	ENSG00000174028.6	ENSG00000174028.6	FAM3C2P	processed_pseudogene	OTTHUMG00000021247.1	HGNC:34501	2	PGO:0000004	0	2	5.38529	1	14.6667	10.4956	5.82091	2	6.56198	3.39697
13	45393316	45418456	25140	-	ENSG00000174032.17	ENSG00000174032.17	SLC25A30	protein_coding	OTTHUMG00000016853.7	HGNC:27371	1 | 2 | 3	---	28	34	112	12	175	182	131	61	49	42
9	35041095	35045987	4892	+	ENSG00000174038.13	ENSG00000174038.13	C9orf131	protein_coding	OTTHUMG00000019853.8	HGNC:31418	1 | 2	---	0.000473578	18.7979	1.55486	0	1.1597	3.24506	0	0	1.41449	1
11	66563464	66568880	5416	-	ENSG00000174080.12	ENSG00000174080.12	CTSF	protein_coding	OTTHUMG00000167090.4	HGNC:2531	2	---	1	0	12	9	42	32	30	2	8	15
12	65278643	65491431	212788	+	ENSG00000174099.12	ENSG00000174099.12	MSRB3	protein_coding	OTTHUMG00000168866.6	HGNC:27375	1 | 2 | 3	---	131	82	419.001	148	795.002	532.998	614.999	62	147	165
12	65169583	65248356	78773	+	ENSG00000174106.3	ENSG00000174106.3	LEMD3	protein_coding	OTTHUMG00000168840.3	HGNC:28887	2	---	481	516	698	236	1151	1100	1241	236	522	463
16	1419752	1420757	1005	-	ENSG00000174109.5	ENSG00000174109.5	C16orf91	protein_coding	OTTHUMG00000192232.2	HGNC:27558	2	---	88	35	217	176	117	134	171	106	52	78
4	38772238	38782991	10753	-	ENSG00000174123.11	ENSG00000174123.11	TLR10	protein_coding	OTTHUMG00000128578.4	HGNC:15634	1 | 2 | 3	---	263	1766.01	355	348.999	919.999	802	620	263	481.001	244
4	38790677	38856818	66141	-	ENSG00000174125.8	ENSG00000174125.8	TLR1	protein_coding	OTTHUMG00000160413.7	HGNC:11847	2	---	3204.28	7148.04	4583.76	2303.1	13117.5	17535.4	12063.5	1695.66	8025.38	5228.25
4	38822897	38856818	33921	-	ENSG00000174130.13	ENSG00000174130.13	TLR6	protein_coding	OTTHUMG00000128579.4	HGNC:16711	2	---	1776.72	7114.74	3930.49	3018.88	9554.14	14551.7	6364.97	1717.33	7150.65	4211.96
5	100535374	100586742	51368	+	ENSG00000174132.9	ENSG00000174132.9	FAM174A	protein_coding	OTTHUMG00000128726.3	HGNC:24943	1	---	90	206	264	198	804.999	1194	1187	169	350	660.998
5	98768650	98798644	29994	+	ENSG00000174136.13	ENSG00000174136.13	RGMB	protein_coding	OTTHUMG00000162745.3	HGNC:26896	2	---	0	4.66693e-10	1.40008e-09	1	6.99774	10.7598	9.33387e-10	0	1.80117	3
4	1617915	1684314	66399	-	ENSG00000174137.14	ENSG00000174137.14	FAM53A	protein_coding	OTTHUMG00000159855.6	HGNC:31860	1 | 2	---	0	4	3	0	2	5	4	2	2	1
1	109494052	109502933	8881	+	ENSG00000174151.15	ENSG00000174151.15	CYB561D1	protein_coding	OTTHUMG00000011051.6	HGNC:26804	1 | 2	---	180	509.001	764.001	253	1155	1408.01	1208	257	768.999	470.001
11	66520637	66546236	25599	-	ENSG00000174165.8	ENSG00000174165.8	ZDHHC24	protein_coding	OTTHUMG00000167096.4	HGNC:27387	1 | 2	---	25	48.6188	167.433	79	171.219	165.806	231.962	79.8858	56.7171	118.994
15	41892777	41899529	6752	+	ENSG00000174171.7	ENSG00000174171.7	ENSG00000174171	lncRNA	OTTHUMG00000172721.4	---	2	---	1	2	3.92514e-29	1.4551e-21	14.0007	16.2206	11	1	12.6262	1.64528
3	101561868	101566447	4579	+	ENSG00000174173.7	ENSG00000174173.7	TRMT10C	protein_coding	OTTHUMG00000159114.5	HGNC:26022	2	---	20	46	84	60	155	145	224	60	78	128
1	169588849	169630194	41345	-	ENSG00000174175.17	ENSG00000174175.17	SELP	protein_coding	OTTHUMG00000034685.10	HGNC:10721	2	---	95	49	129	72	136	219	165	43	119	66
16	88706483	88715397	8914	+	ENSG00000174177.13	ENSG00000174177.13	CTU2	protein_coding	OTTHUMG00000173417.4	HGNC:28005	2	---	2	2	35	27	72.6641	53	32	20	8	14
15	41621134	41773082	151948	+	ENSG00000174197.19	ENSG00000174197.19	MGA	protein_coding	OTTHUMG00000172719.3	HGNC:14010	1 | 2	---	37	76	129	13	592.001	515.001	493	69	102.478	151
12	64186316	64222297	35981	-	ENSG00000174206.13	ENSG00000174206.13	KICS2	protein_coding	OTTHUMG00000168763.3	HGNC:26517	1 | 2	---	0	1	6	9	6	12	7	8	5	4
4	499210	540201	40991	+	ENSG00000174227.16	ENSG00000174227.16	PIGG	protein_coding	OTTHUMG00000112457.9	HGNC:25985	1 | 2	---	278	432	496	270	811.001	914	899	203	516	401
17	1650629	1684868	34239	-	ENSG00000174231.18	ENSG00000174231.18	PRPF8	protein_coding	OTTHUMG00000090553.7	HGNC:17340	1 | 2	---	906.001	1316.78	2472	1221	4725.97	4795.99	4146.94	993	1521	1531
12	48766194	48789090	22896	-	ENSG00000174233.12	ENSG00000174233.12	ADCY6	protein_coding	OTTHUMG00000170396.2	HGNC:237	2	---	0	2	2	3	2	4	1	0	1	0
17	1517718	1562793	45075	-	ENSG00000174238.16	ENSG00000174238.16	PITPNA	protein_coding	OTTHUMG00000177779.11	HGNC:9001	2	---	869.832	1500.95	3174.01	3307.08	4565.97	7500.93	4979.77	2046	2495.98	3551.95
12	48829756	48852843	23087	-	ENSG00000174243.11	ENSG00000174243.11	DDX23	protein_coding	OTTHUMG00000170399.4	HGNC:17347	2	---	541	743.001	1317	827	2587	2666	2612.99	769	1077	1020
3	114234631	114237579	2948	-	ENSG00000174255.8	ENSG00000174255.8	ZNF80	protein_coding	OTTHUMG00000159332.2	HGNC:13155	2	---	0	0	0	0	9	5	2.67396	0	0	1.50942
11	65116403	65117702	1299	-	ENSG00000174276.7	ENSG00000174276.7	ZNHIT2	protein_coding	OTTHUMG00000165604.3	HGNC:1177	2	---	12	9	45	22	23	46	83	26	5	22
17	7459366	7484264	24898	-	ENSG00000174282.12	ENSG00000174282.12	ZBTB4	protein_coding	OTTHUMG00000108137.5	HGNC:23847	2	---	53	47	156	73	1211.99	953	779.999	56	158	171
17	7380534	7389775	9241	+	ENSG00000174292.13	ENSG00000174292.13	TNK1	protein_coding	OTTHUMG00000178174.5	HGNC:11940	2	---	0	0	0	0	8	10	6	0	3	1
20	41178448	41317732	139284	-	ENSG00000174306.22	ENSG00000174306.22	ZHX3	protein_coding	OTTHUMG00000032481.7	HGNC:15935	1 | 2	---	1	0	14	1	26	43	27	4	7	10
1	201464278	201469238	4960	-	ENSG00000174307.7	ENSG00000174307.7	PHLDA3	protein_coding	OTTHUMG00000035767.4	HGNC:8934	2	---	0	0	2	0	9	0	0	1	1	0
17	7036015	7040118	4103	+	ENSG00000174327.7	ENSG00000174327.7	SLC16A13	protein_coding	OTTHUMG00000102089.3	HGNC:31037	2	---	1	0	4	1	23	18	24	5	2	8
7	72998027	73003731	5704	-	ENSG00000174353.18	ENSG00000174353.18	STAG3L3	transcribed_unprocessed_pseudogene	OTTHUMG00000157064.4	HGNC:33845	2	PGO:0000005 | PGO:0000019	3.86713e-13	9.90245e-16	2.46242e-09	1.05697e-08	1.87152e-08	1.75784	0.462631	2.77411	0.000250274	8.92254
20	38446343	38450941	4598	+	ENSG00000174365.22	ENSG00000174365.22	SNHG11	lncRNA	OTTHUMG00000032449.27	HGNC:25046	2	---	15	18	88	40	53	62	76	37	29	20
1	241847967	241895149	47182	+	ENSG00000174371.17	ENSG00000174371.17	EXO1	protein_coding	OTTHUMG00000039965.9	HGNC:3511	1 | 2 | 3	---	0	0	14	0	2	1	0	2	0	0
14	35538352	35809305	270953	-	ENSG00000174373.17	ENSG00000174373.17	RALGAPA1	protein_coding	OTTHUMG00000170619.6	HGNC:17770	1 | 2	---	7.63357	26.3781	47.4085	8.90907	125.537	140.86	186.139	15	32.3813	24.2442
7	73093657	73105390	11733	+	ENSG00000174384.9	ENSG00000174384.9	PMS2P6	unprocessed_pseudogene	OTTHUMG00000157066.2	HGNC:33514	2	PGO:0000005	2.56719	6.43896	1.86056e-18	0.00888196	1.82007e-07	3.20859	9.90423	7.90732e-05	0.000623571	5.29369e-14
13	108207439	108218369	10930	-	ENSG00000174405.15	ENSG00000174405.15	LIG4	protein_coding	OTTHUMG00000017328.5	HGNC:6601	2	---	211	366	363	132	777.999	723.001	897.998	128	347	264
7	75092573	75149818	57245	+	ENSG00000174428.19	ENSG00000174428.19	GTF2IRD2B	protein_coding	OTTHUMG00000181534.4	HGNC:33125	2	---	157.661	189.25	417.311	280.408	342.263	396.136	281.629	57.9519	96.6177	99.4699
12	110280756	110351094	70338	+	ENSG00000174437.18	ENSG00000174437.18	ATP2A2	protein_coding	OTTHUMG00000169327.5	HGNC:812	1 | 2	---	146	179	420	81	482.001	610.001	567	113	224	137
15	66504959	66550131	45172	+	ENSG00000174442.12	ENSG00000174442.12	ZWILCH	protein_coding	OTTHUMG00000133194.8	HGNC:25468	2 | 3	---	1	6	63	8	78	51.8983	98	24	7	19
15	66498015	66524533	26518	-	ENSG00000174444.15	ENSG00000174444.15	RPL4	protein_coding	OTTHUMG00000133193.5	HGNC:10353	1 | 2	---	472.286	192.571	5749.36	2147.31	2787.38	4470.9	2612.19	5936.57	610.936	1193.9
15	66490135	66497781	7646	-	ENSG00000174446.13	ENSG00000174446.13	SNAPC5	protein_coding	OTTHUMG00000133195.5	HGNC:15484	1 | 2	---	42.1293	39.8649	177.657	75	169.557	188.04	279.464	94	89.3845	123.587
12	110027028	110073637	46609	-	ENSG00000174456.16	ENSG00000174456.16	C12orf76	protein_coding	OTTHUMG00000193487.1	HGNC:33790	1 | 2	---	104.799	224.62	199.439	123.94	262.69	353.585	292.083	94.2533	160.48	117.357
X	118823824	118826969	3145	+	ENSG00000174460.4	ENSG00000174460.4	ZCCHC12	protein_coding	OTTHUMG00000022261.2	HGNC:27273	2	---	1	5	0	1	0	0	1	3	0	0
7	146116002	148420999	2304997	+	ENSG00000174469.23	ENSG00000174469.23	CNTNAP2	protein_coding	OTTHUMG00000152743.11	HGNC:13830	1 | 2	---	0	0	1	1	1	5	21	0	0	7
11	66510606	66533614	23008	+	ENSG00000174483.20	ENSG00000174483.20	BBS1	protein_coding	OTTHUMG00000167110.7	HGNC:966	1 | 2 | 3	---	57.9501	66.2462	94.0131	48.1766	151.297	149.375	186.83	44.6688	66.4733	96.547
15	65658046	65792294	134248	-	ENSG00000174485.16	ENSG00000174485.16	DENND4A	protein_coding	OTTHUMG00000172635.6	HGNC:24321	1 | 2	---	292	770.001	372	208	1633	1532	1242.01	217	590.001	368
3	112120839	112133271	12432	-	ENSG00000174500.13	ENSG00000174500.13	GCSAM	protein_coding	OTTHUMG00000159231.5	HGNC:20253	1 | 2	---	0	0	0	0	26	26	28	0	9	10
2	95836919	95991832	154913	-	ENSG00000174501.15	ENSG00000174501.15	ANKRD36C	protein_coding	OTTHUMG00000155211.2	HGNC:32946	2 | 3	---	0	0	13.6388	0	15.8444	27.5051	17.2141	2	1.27794	1.00096
1	205568885	205602919	34034	+	ENSG00000174514.13	ENSG00000174514.13	MFSD4A	protein_coding	OTTHUMG00000037197.5	HGNC:25433	2	---	1	0	2.77679e-38	1	2	3	4	0	1	1
11	66466327	66477338	11011	+	ENSG00000174516.15	ENSG00000174516.15	PELI3	protein_coding	OTTHUMG00000167109.3	HGNC:30010	1 | 2 | 3	---	23	14	63	32	43	42	34	8	13	12
12	109347900	109455524	107624	+	ENSG00000174527.11	ENSG00000174527.11	MYO1H	protein_coding	OTTHUMG00000169252.4	HGNC:13879	1 | 2	---	0	1	0	0	3	0	4	0	1.07109	1
1	205083129	205084461	1332	-	ENSG00000174529.7	ENSG00000174529.7	TMEM81	protein_coding	OTTHUMG00000037103.1	HGNC:32349	2	---	15	45	62	58	111	105	85	56	62	51
11	66435075	66466739	31664	-	ENSG00000174547.13	ENSG00000174547.13	MRPL11	protein_coding	OTTHUMG00000167097.2	HGNC:14042	1 | 2	---	2	1	110	42	32	39	28	132	7	11
3	136946230	137011086	64856	+	ENSG00000174564.13	ENSG00000174564.13	IL20RB	protein_coding	OTTHUMG00000159779.3	HGNC:6004	2	---	7	2	13	11	9	15	7	6	5	5
1	38991276	39006060	14784	+	ENSG00000174574.16	ENSG00000174574.16	AKIRIN1	protein_coding	OTTHUMG00000007496.3	HGNC:25744	2	---	2561.03	2413.99	4901.92	1974.01	5656.09	5896.84	5822.89	1334	2626.01	3159
3	136148917	136197242	48325	-	ENSG00000174579.5	ENSG00000174579.5	MSL2	protein_coding	OTTHUMG00000159793.4	HGNC:25544	2	---	1255	2902	3236.98	1802.01	5782.92	5686.08	5657.97	1249	2548.98	2175.99
19	58354357	58362849	8492	-	ENSG00000174586.11	ENSG00000174586.11	ZNF497	protein_coding	OTTHUMG00000183510.5	HGNC:23714	2	---	0	0	0.398387	8.19263e-21	2.78407	8.0024	1.02316	1.15394	2.63107	1.0032
12	108288044	108339318	51274	-	ENSG00000174600.14	ENSG00000174600.14	CMKLR1	protein_coding	OTTHUMG00000169576.3	HGNC:2121	2 | 3	---	0	0	8	8	10	39	2	52	2	7
1	212992182	213015868	23686	-	ENSG00000174606.14	ENSG00000174606.14	ANGEL2	protein_coding	OTTHUMG00000036927.4	HGNC:30534	2 | 3	---	78	228	194	107	625	512.999	623.001	86	275	175
4	114598770	114678226	79456	+	ENSG00000174607.11	ENSG00000174607.11	UGT8	protein_coding	OTTHUMG00000132915.5	HGNC:12555	2	---	0	0	1	0	9	3	6	1	3	0
3	134599923	134651637	51714	-	ENSG00000174611.12	ENSG00000174611.12	KY	protein_coding	OTTHUMG00000159788.2	HGNC:26576	2	---	18.7783	26.1394	124.765	26.917	401.852	390.384	363.147	15.3736	204.157	159.975
16	19716456	19858468	142012	+	ENSG00000174628.17	ENSG00000174628.17	IQCK	protein_coding	OTTHUMG00000131453.5	HGNC:28556	2	---	1	0	1	0	4	1	2	2	1	0
19	9412429	9435574	23145	-	ENSG00000174652.20	ENSG00000174652.20	ZNF266	protein_coding	OTTHUMG00000179945.5	HGNC:13059	2	---	116	273	436	298	1705.99	1035	1896	300	770.002	821
11	66362521	66372215	9694	-	ENSG00000174669.12	ENSG00000174669.12	SLC29A2	protein_coding	OTTHUMG00000169056.2	HGNC:11004	2 | 3	---	0	0	0	1	8.47429	12	2	3	2	1
11	1389899	1462690	72791	+	ENSG00000174672.16	ENSG00000174672.16	BRSK2	protein_coding	OTTHUMG00000167089.4	HGNC:11405	2 | 3	---	0	0	1	4	1	1	3	0	2	0
11	66345374	66347630	2256	-	ENSG00000174684.7	ENSG00000174684.7	B4GAT1	protein_coding	OTTHUMG00000167082.2	HGNC:15685	2	---	0	0	3	0	3	8	3	0	0	2
5	83052846	83077864	25018	-	ENSG00000174695.10	ENSG00000174695.10	TMEM167A	protein_coding	OTTHUMG00000162570.3	HGNC:28330	2	---	1213	2680.44	2496.74	1737.75	2943.92	3061.87	3096.68	1123.78	1395.73	1350.79
7	128241278	128257630	16352	+	ENSG00000174697.5	ENSG00000174697.5	LEP	protein_coding	OTTHUMG00000157564.2	HGNC:6553	2	---	2	3	10	0	23	17	13	0	18	13
5	172325000	172454526	129526	-	ENSG00000174705.13	ENSG00000174705.13	SH3PXD2B	protein_coding	OTTHUMG00000163280.5	HGNC:29242	1 | 2	---	13	134	52	26	2	11	8	8	1	0
12	31959370	31993108	33738	+	ENSG00000174718.12	ENSG00000174718.12	RESF1	protein_coding	OTTHUMG00000128501.6	HGNC:25559	2	---	8829	32339.8	13274.9	7989.02	46566.1	52047	39542.6	8471.07	22473.1	13377.8
4	112637077	112657697	20620	+	ENSG00000174720.18	ENSG00000174720.18	LARP7	protein_coding	OTTHUMG00000132909.8	HGNC:24912	1 | 2	---	440.139	378.82	979.046	408.924	1045.55	1245.33	1260.93	496.196	431.19	445.337
10	91906584	91909487	2903	-	ENSG00000174721.10	ENSG00000174721.10	FGFBP3	protein_coding	OTTHUMG00000018751.2	HGNC:23428	2	---	2	1	7	7	1	2	2	2	1	3
3	23945286	23980618	35332	+	ENSG00000174738.13	ENSG00000174738.13	NR1D2	protein_coding	OTTHUMG00000155659.6	HGNC:7963	2	---	24	38	114	31	383	267	258	69	78	96
11	66337333	66345126	7793	-	ENSG00000174744.14	ENSG00000174744.14	BRMS1	protein_coding	OTTHUMG00000167081.3	HGNC:17262	2	---	840	627.001	1996	1698	1157	1327	1515	1211	715	848.004
3	23916591	23924375	7784	+	ENSG00000174748.22	ENSG00000174748.22	RPL15	protein_coding	OTTHUMG00000130485.10	HGNC:10306	1 | 2 | 3	---	799.829	407.349	5106.21	2734.39	2514.9	2996.28	2807.31	4946.8	691.756	1397.81
4	112145454	112195257	49803	+	ENSG00000174749.6	ENSG00000174749.6	FAM241A	protein_coding	OTTHUMG00000132851.3	HGNC:26813	2	---	310	148	259	104	157	202	173	131	96	85
11	532242	537322	5080	-	ENSG00000174775.18	ENSG00000174775.18	HRAS	protein_coding	OTTHUMG00000131919.9	HGNC:5173	2	---	5	4	36	23	32	48	45	35	10	18
4	56467617	56503682	36065	+	ENSG00000174780.17	ENSG00000174780.17	SRP72	protein_coding	OTTHUMG00000128843.17	HGNC:11303	2	---	83	157	600.999	97	773.001	811.999	826.998	246	200	312
19	7631611	7633720	2109	-	ENSG00000174788.10	ENSG00000174788.10	PCP2	protein_coding	OTTHUMG00000182405.3	HGNC:30209	2	---	9.11122	21.6003	35.298	31.3774	37	35.4527	29.597	17	14.178	12.2167
11	66330241	66336841	6600	-	ENSG00000174791.11	ENSG00000174791.11	RIN1	protein_coding	OTTHUMG00000167085.3	HGNC:18749	1 | 2 | 3	---	6	10	52	59	26	26	11	52	8	5
4	75513946	75550474	36528	+	ENSG00000174796.12	ENSG00000174796.12	THAP6	protein_coding	OTTHUMG00000130108.4	HGNC:23189	1 | 2	---	41	86	88	43	310	389.001	420.001	31	165	192
4	55948871	56033362	84491	+	ENSG00000174799.12	ENSG00000174799.12	CEP135	protein_coding	OTTHUMG00000160748.3	HGNC:29086	2	---	176	202	192	84	531.998	532.001	514.002	61	170	146
11	66314494	66317045	2551	-	ENSG00000174807.4	ENSG00000174807.4	CD248	protein_coding	OTTHUMG00000167073.3	HGNC:18219	2	---	0	0	0	0	22	26	2	1	3	1
1	145670852	145708149	37297	-	ENSG00000174827.14	ENSG00000174827.14	PDZK1	protein_coding	OTTHUMG00000013735.8	HGNC:8821	2 | 3	---	1	0	0	1	3	4	4.72258	0	2	1
19	6887566	6940460	52894	+	ENSG00000174837.15	ENSG00000174837.15	ADGRE1	protein_coding	OTTHUMG00000181966.3	HGNC:3336	1 | 2	---	893.919	205	1482.96	815	6182.4	6547.87	7680.95	789.005	1495.94	1723.19
3	57625454	57693078	67624	-	ENSG00000174839.13	ENSG00000174839.13	DENND6A	protein_coding	OTTHUMG00000158639.4	HGNC:26635	2	---	392	658	827	593	844	915.999	886	180	296	323
3	57556274	57566849	10575	+	ENSG00000174840.9	ENSG00000174840.9	PDE12	protein_coding	OTTHUMG00000158599.3	HGNC:25386	2	---	62	43	269	65	186	204	252	71	64	69
1	92246402	92298988	52586	-	ENSG00000174842.17	ENSG00000174842.17	GLMN	protein_coding	OTTHUMG00000010283.9	HGNC:14373	2	---	3	5	17	5	25	9	11	8	6	8
11	66284580	66289146	4566	-	ENSG00000174851.16	ENSG00000174851.16	YIF1A	protein_coding	OTTHUMG00000102079.7	HGNC:16688	1 | 2	---	11	18	60	59	45	57	85	91	15	53
11	66278175	66285302	7127	+	ENSG00000174871.11	ENSG00000174871.11	CNIH2	protein_coding	OTTHUMG00000166919.2	HGNC:28744	2	---	7	20	20	62	18	19	23	46	20	11
11	278407	285389	6982	+	ENSG00000174885.13	ENSG00000174885.13	NLRP6	protein_coding	OTTHUMG00000119070.3	HGNC:22944	2	---	413.001	2098	941.997	919.004	2095.04	2329.98	1213.99	208	645	571.001
19	5891276	5904007	12731	-	ENSG00000174886.14	ENSG00000174886.14	NDUFA11	protein_coding	OTTHUMG00000180617.3	HGNC:20371	2	---	201	130.773	697.956	652	463	478.664	519.529	530	195.939	360.894
3	158105855	158545731	439876	+	ENSG00000174891.14	ENSG00000174891.14	RSRC1	protein_coding	OTTHUMG00000158758.14	HGNC:24152	1 | 2	---	55	51	217	50	186	227	225	113	80	71
11	66268590	66277493	8903	+	ENSG00000174903.16	ENSG00000174903.16	RAB1B	protein_coding	OTTHUMG00000166916.3	HGNC:18370	2	---	3798.85	3100.69	8884.24	6697.86	7321.3	6956.11	7337.66	3412.03	3495.78	4983.74
3	156713884	156714929	1045	-	ENSG00000174912.7	ENSG00000174912.7	METTL15P1	processed_pseudogene	OTTHUMG00000158645.1	HGNC:31926	1	PGO:0000004	0	2.42614	1	0	6.20816	10.7409	6.54273	5	4	6.42482
11	448268	491400	43132	+	ENSG00000174915.12	ENSG00000174915.12	PTDSS2	protein_coding	OTTHUMG00000119087.6	HGNC:15463	2	---	11	5	62	33	56	84	92	48	27	35
19	5678421	5680517	2096	-	ENSG00000174917.9	ENSG00000174917.9	MICOS13	protein_coding	OTTHUMG00000180503.2	HGNC:33702	2	---	13	5	90	70	36	40	52	108	12	41
3	155762617	155806279	43662	-	ENSG00000174928.16	ENSG00000174928.16	C3orf33	protein_coding	OTTHUMG00000158496.3	HGNC:26434	2 | 3	---	11.9308	8.06445	6.99897	5	6.99976	3	1.3544	3	0	0
16	29905012	29926237	21225	-	ENSG00000174943.11	ENSG00000174943.11	KCTD13	protein_coding	OTTHUMG00000132120.6	HGNC:22234	1 | 2	---	109	228	339	233	427	502.973	533	193	251	195
3	151212117	151278543	66426	-	ENSG00000174944.9	ENSG00000174944.9	P2RY14	protein_coding	OTTHUMG00000159859.4	HGNC:16442	2	---	871.001	66	678.001	40	3938.94	3574.06	2530.01	2501	677.001	789.998
3	151197832	151203217	5385	-	ENSG00000174946.7	ENSG00000174946.7	GPR171	protein_coding	OTTHUMG00000159861.4	HGNC:30057	2 | 3	---	7	0	11	0	59	48	49	23	9	8
1	27379176	27383334	4158	-	ENSG00000174950.11	ENSG00000174950.11	CD164L2	protein_coding	OTTHUMG00000003395.5	HGNC:32043	2	---	0	0	1	4	2	3	2	0	2	0
